ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
ISJLTTZ,2,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVB0PltCsOBAAvhFVvBOpBxsB3lBCtBlpB;v115@ChB8GeB8IeB8AeB8FeD8JeVQYaAFLDmClcJSAVDEHB?EooRBUoAVBKuTxCsXBAAvhFOpBxnB3gBVqBCoB0pB
IJLTZOT,0,,,
SZTIOLT,0,,,
OLJTSTI,0,,,
JILTTZO,0,,,
TOJSLZI,0,,,
ZOSLITT,0,,,
ISOJZLT,0,,,
LOJTSIT,0,,,
OSILTZT,0,,,
LJSITTO,0,,,
ZLTOJST,1,TTLJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBs+bgCqOBAAvhFipBlnBXqBTkBGoBlqB
TSJZITO,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp+TxCKHBAAvhFxuBlsB3lBNpBGoBzpB
STJZTIL,0,,,
ZLTTOIS,0,,,
ISZOLTT,0,,,
TLJTOZS,0,,,
SLJTZIO,0,,,
ITOZJTL,0,,,
TTLOZSI,0,,,
ZOLISTT,0,,,
ILSJTZO,0,,,
JLTIZTO,0,,,
TZSITLO,1,TTILSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpOegCzCBAAvhFxuB1uB9sBTtB3qBipB
STLJZIT,0,,,
STLZTOI,0,,,
TIZJSOL,0,,,
TSOJZIL,0,,,
TTISJOL,0,,,
TZJLITS,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBseNPCzOBAAvhFipBlnBxpBGoB3qBlpB
TLTZISJ,0,,,
SJLTZTI,0,,,
JTSOLZT,0,,,
JLITSOZ,0,,,
IJZTLOS,0,,,
ZOLSTIJ,0,,,
ILZOTJS,0,,,
OLTSJZI,0,,,
IOLJZTT,0,,,
OTLZSTJ,0,,,
TTSJZOL,0,,,
TTSIOLZ,1,TTILSZO,,v115@ChB8GeB8IeB8AeB8FeD8Je3KYaAFLDmClcJSAVDEHB?EooRBToAVB0+CMC6CBAAvhFlpB9nBToBxpBUrBipB
TSJZOLI,0,,,
TJSOTZI,0,,,
ZSTOTIJ,2,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBU+dgCz/AAAvhFVvBZkB9sBToB3lBupB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp/dgCzOBAAvhFxuB2uB9sBTtB3qBlpB
OZTSTLJ,0,,,
ZOTSJLI,0,,,
STIJZTL,0,,,
JILSTTZ,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpOstCqOBAAvhFxuBlsBKpBfqBGtBlqB
ZJTTIOS,0,,,
TTSJOIZ,1,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBU+dgCz/AAAvhFVvBZkB9sBToB3lBupB
TLOZTSJ,0,,,
SJIOTTL,0,,,
TSLTIJO,0,,,
JTOLIST,0,,,
LTOJITS,0,,,
OSTJZLT,0,,,
TZSOTLI,0,,,
JITLTOZ,0,,,
ZLSITOJ,0,,,
OTJITZS,0,,,
IJZOTLS,0,,,
LOJZITS,0,,,
JZSTLIO,0,,,
OLTITJZ,0,,,
STTILZJ,0,,,
LTOTIJS,0,,,
JTTLIZS,0,,,
TZOSILT,0,,,
JSTLOZT,0,,,
TLSZJIO,0,,,
TSJOTZI,0,,,
JSZTITO,0,,,
JZOTIST,0,,,
IZJSLTO,0,,,
ZISJTLO,0,,,
JSTOTLI,0,,,
TLSTZOJ,0,,,
LOTZJIS,0,,,
ITLTJZS,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeVQYaAFLDmClcJSAVDEHB?EooRBUoAVBM+lFDKNBAAvhFqpBZkBlsBUlBGoB3qB
OTILTSJ,0,,,
ITOSTZL,0,,,
ITTLZOJ,0,,,
JILOSTZ,0,,,
ZLTITSJ,0,,,
ILOSZTT,0,,,
LTTJSOZ,1,TTLJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeiKYaAFLDmClcJSAVDEHB?EooRBMoAVB0+jPCvXBAAvhF9pB9nB/qBOpBToBUrB
LSTJTOZ,0,,,
LZTSIOJ,0,,,
OSZJTTL,0,,,
ZLJOTTI,0,,,
ZITLJST,2,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpO+tCqCBAAvhFxuB1uBlsB3qBGtBipB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpOstCqOBAAvhFxuBlsBKpBfqBGtBlqB
SLOTJZT,0,,,
TTZOLSI,0,,,
OZTLISJ,0,,,
SOZJILT,0,,,
ZTIJSLT,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVB0PltCsOBAAvhFVvBOpBxsB3lBCtBlpB
LZTJSOI,0,,,
STITLZO,0,,,
JILZOTT,0,,,
LSTJZOI,0,,,
LZTTJIS,0,,,
ILTTSZJ,0,,,
TISJTLZ,3,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpO+tCqCBAAvhFxuB1uBlsB3qBGtBipB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVB0PltCsOBAAvhFVvBOpBxsB3lBCtBlpB;v115@ChB8GeB8IeB8AeB8FeD8JeVQYaAFLDmClcJSAVDEHB?EooRBUoAVBKuTxCsXBAAvhFOpBxnB3gBVqBCoB0pB
ZTLOSIT,0,,,
OJTISZL,0,,,
TTJLOIS,0,,,
LJSZTOI,0,,,
LTTISOZ,0,,,
SIZLTJO,0,,,
SOLZJTT,0,,,
IJLZTSO,0,,,
ITSJTZL,0,,,
ILOSTTJ,0,,,
TLOTZJI,0,,,
TLOSZJT,0,,,
ZJIOLTS,0,,,
ZTIOLST,3,TTILSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBs+CMCzOBAAvhFipB9nBToBxpB3qBlpB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp+KWCzOBAAvhFxuB9sBToBKpBfqBlqB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBUX9VCzOBAAvhF9nBTjBxkBKpBfqBlqB
ZLTTISJ,0,,,
LOZITJT,0,,,
JTZSTLO,0,,,
IOTLTSJ,0,,,
TOJLZSI,0,,,
OTZLJIS,0,,,
TLTOISZ,1,TTILSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeVQYaAFLDmClcJSAVDEHB?EooRBUoAVBM+dgCzXBAAvhFqpBZkB9sBToB3lBUqB
OTILSZJ,0,,,
OJSITTZ,0,,,
SZLJOIT,0,,,
